"Pathway ID","Pathway Description",通路描述,"First Category","Second Category","All Number","All Compound"
map00061,"Fatty acid biosynthesis",脂肪酸生物合成,Metabolism,"Lipid metabolism",6,C02679;C06424;C00249;C08362;C01530;C00712
map00062,"Fatty acid elongation",脂肪酸延长,Metabolism,"Lipid metabolism",1,C00249
map00071,"Fatty acid degradation",脂肪酸降解,Metabolism,"Lipid metabolism",1,C00249
map00073,"Cutin, suberine and wax biosynthesis",角质素、软木脂和蜡质生物合成,Metabolism,"Lipid metabolism",3,C00249;C00712;C08281
map00333,"Prodigiosin biosynthesis",灵菌红素生物合成,Metabolism,"Biosynthesis of other secondary metabolites",1,C02679
map00590,"Arachidonic acid metabolism",花生四烯酸代谢,Metabolism,"Lipid metabolism",1,C00219
map00591,"Linoleic acid metabolism",亚油酸代谢,Metabolism,"Lipid metabolism",3,C01595;C06426;C00219
map00592,"alpha-Linolenic acid metabolism",α-亚麻酸代谢,Metabolism,"Lipid metabolism",1,C06427
map01040,"Biosynthesis of unsaturated fatty acids",不饱和脂肪酸的生物合成,Metabolism,"Lipid metabolism",12,C00249;C01530;C00712;C01595;C06425;C06426;C06427;C16525;C08281;C00219;C06428;C06429
map01060,"Biosynthesis of plant secondary metabolites",植物次生代谢产物的生物合成,Metabolism,"Chemical structure transformation maps",5,C00249;C01530;C00712;C01595;C06427
map01070,"Biosynthesis of plant hormones",植物激素的生物合成,Metabolism,"Chemical structure transformation maps",1,C06427
map01100,"Metabolic pathways",代谢途径,Metabolism,"Global and overview maps",9,C02679;C06424;C00249;C08362;C01530;C01595;C06426;C06427;C00219
map01110,"Biosynthesis of secondary metabolites",次级代谢产物的生物合成,Metabolism,"Global and overview maps",2,C02679;C06427
map01212,"Fatty acid metabolism",脂肪酸代谢,Metabolism,"Global and overview maps",1,C00249
map04212,"Longevity regulating pathway - worm",长寿调节途径-蠕虫,"Organismal Systems",Aging,1,C00712
map04216,Ferroptosis,铁死亡,"Cellular Processes","Cell growth and death",1,C00219
map04217,Necroptosis,程序性坏死,"Cellular Processes","Cell growth and death",1,C00219
map04270,"Vascular smooth muscle contraction",血管平滑肌收缩,"Organismal Systems","Circulatory system",1,C00219
map04611,"Platelet activation",血小板活化,"Organismal Systems","Immune system",1,C00219
map04664,"Fc epsilon RI signaling pathway",Fc-ε-RI信号通路,"Organismal Systems","Immune system",1,C00219
map04666,"Fc gamma R-mediated phagocytosis",Fc-γR-介导的吞噬作用,"Organismal Systems","Immune system",1,C00219
map04723,"Retrograde endocannabinoid signaling",逆行内源性大麻素信号传导,"Organismal Systems","Nervous system",1,C00219
map04726,"Serotonergic synapse",5-羟色胺能突触,"Organismal Systems","Nervous system",1,C00219
map04730,"Long-term depression",长时程抑制,"Organismal Systems","Nervous system",1,C00219
map04745,"Phototransduction - fly",光转导-果蝇,"Organismal Systems","Sensory system",2,C01530;C00219
map04750,"Inflammatory mediator regulation of TRP channels",TRP通道的炎症介质调节,"Organismal Systems","Sensory system",1,C00219
map04912,"GnRH signaling pathway",GnRH信号通路,"Organismal Systems","Endocrine system",1,C00219
map04913,"Ovarian steroidogenesis",卵巢类固醇生成,"Organismal Systems","Endocrine system",1,C00219
map04921,"Oxytocin signaling pathway",催产素信号通路,"Organismal Systems","Endocrine system",1,C00219
map04923,"Regulation of lipolysis in adipocytes",脂肪细胞脂解的调控,"Organismal Systems","Endocrine system",1,C00219
map04925,"Aldosterone synthesis and secretion",醛固酮的合成和分泌,"Organismal Systems","Endocrine system",1,C00219
map05140,Leishmaniasis,利什曼病,"Human Diseases","Infectious disease: parasitic",1,C00219
map05146,Amoebiasis,阿米巴病,"Human Diseases","Infectious disease: parasitic",1,C00219
map07034,Eicosanoids,类花生酸,"Drug Development","Structure-based classification",1,C00219
